"","phyD_FLT_c1.which.mclass....7...1."
"1064","AT3G10290"
"1065","AT3G10470"
"1066","AT3G10590"
"1067","AT3G10600"
"1068","AT3G10605"
"1069","AT3G10680"
"1070","AT3G10745"
"1071","AT3G10840"
"1072","AT3G10880"
"1073","AT3G10986"
"1074","AT3G11020"
"1075","AT3G11050"
"1076","AT3G11110"
"1077","AT3G11150"
"1078","AT3G11380"
"1079","AT3G11415"
"1080","AT3G11460"
"1081","AT3G11750"
"1082","AT3G11773"
"1083","AT3G11860"
"1084","AT3G12880"
"1085","AT3G12960"
"1086","AT3G13020"
"1087","AT3G13065"
"1088","AT3G13210"
"1089","AT3G13276"
"1090","AT3G13405"
"1091","AT3G13500"
"1092","AT3G13590"
"1093","AT3G13784"
"1094","AT3G13810"
"1095","AT3G13857"
"1096","AT3G13898"
"1097","AT3G13900"
"1098","AT3G14030"
"1099","AT3G14210"
"1100","AT3G14225"
"1101","AT3G14820"
"1102","AT3G14850"
"1103","AT3G15130"
"1104","AT3G15605"
"1105","AT3G15700"
"1106","AT3G15750"
"1107","AT3G15800"
"1108","AT3G15930"
"1109","AT3G16020"
"1110","AT3G16150"
"1111","AT3G16520"
"1112","AT3G16530"
"1113","AT3G16610"
"1114","AT3G17010"
"1115","AT3G17655"
"1116","AT3G17980"
"1117","AT3G18020"
"1118","AT3G18282"
"1119","AT3G18610"
"1120","AT3G18715"
"1121","AT3G18840"
"1122","AT3G18870"
"1123","AT3G19040"
"1124","AT3G19230"
"1125","AT3G19470"
"1126","AT3G19613"
"1127","AT3G19620"
"1128","AT3G19663"
"1129","AT3G19710"
"1130","AT3G20160"
"1131","AT3G20220"
"1132","AT3G20460"
"1133","AT3G20470"
"1134","AT3G20475"
"1135","AT3G20730"
"1136","AT3G20850"
"1137","AT3G20978"
"1138","AT3G21000"
"1139","AT3G21305"
"1140","AT3G21352"
"1141","AT3G21370"
"1142","AT3G21470"
"1143","AT3G21520"
"1144","AT3G21620"
"1145","AT3G21780"
"1146","AT3G21781"
"1147","AT3G21890"
"1148","AT3G22150"
"1149","AT3G22183"
"1150","AT3G22410"
"1151","AT3G22436"
"1152","AT3G22550"
"1153","AT3G22690"
"1154","AT3G23110"
"1155","AT3G23120"
"1156","AT3G23340"
"1157","AT3G23360"
"1158","AT3G23440"
"1159","AT3G23635"
"1160","AT3G23840"
"1161","AT3G24065"
"1162","AT3G24340"
"1163","AT3G24540"
"1164","AT3G24615"
"1165","AT3G24630"
"1166","AT3G25011"
"1167","AT3G25060"
"1168","AT3G25130"
"1169","AT3G25240"
"1170","AT3G25490"
"1171","AT3G25590"
"1172","AT3G25655"
"1173","AT3G25670"
"1174","AT3G25795"
"1175","AT3G25855"
"1176","AT3G25905"
"1177","AT3G25990"
"1178","AT3G26040"
"1179","AT3G26080"
"1180","AT3G26135"
"1181","AT3G26180"
"1182","AT3G26237"
"1183","AT3G26330"
"1184","AT3G26445"
"1185","AT3G26450"
"1186","AT3G26460"
"1187","AT3G26570"
"1188","AT3G26650"
"1189","AT3G26742"
"1190","AT3G26820"
"1191","AT3G27040"
"1192","AT3G27250"
"1193","AT3G27416"
"1194","AT3G27650"
"1195","AT3G27660"
"1196","AT3G27900"
"1197","AT3G27980"
"1198","AT3G28390"
"1199","AT3G28420"
"1200","AT3G28610"
"1201","AT3G28620"
"1202","AT3G28750"
"1203","AT3G28899"
"1204","AT3G28917"
"1205","AT3G29140"
"1206","AT3G29173"
"1207","AT3G29410"
"1208","AT3G29430"
"1209","AT3G29630"
"1210","AT3G29639"
"1211","AT3G29680"
"1212","AT3G30580"
"1213","AT3G32047"
"1214","AT3G41761"
"1215","AT3G42725"
"1216","AT3G43110"
"1217","AT3G43840"
"1218","AT3G43930"
"1219","AT3G44405"
"1220","AT3G44695"
"1221","AT3G44713"
"1222","AT3G44765"
"1223","AT3G44790"
"1224","AT3G44990"
"1225","AT3G45080"
"1226","AT3G45280"
"1227","AT3G45440"
"1228","AT3G45490"
"1229","AT3G45680"
"1230","AT3G45860"
"1231","AT3G46110"
