RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT3G47300,278.4692985,306.5134481,250.6108899,117.1282698,215.6653677,158.1045362,166.495253,280.7302896,266.8987092,109.6451723,119.5718309,240.5740868
AT3G47800,671.1069391,586.4792125,685.4508968,319.6143242,315.6007856,220.538079,429.0885962,349.550582,502.1290721,221.6037212,185.529562,247.9013534
AT3G47930,232.0779381,160.9823437,248.6907213,371.1302886,248.6977329,203.0253599,287.2575098,182.3376291,156.3324735,308.220835,356.7810943,162.7798074
AT3G48030,539.2651223,597.0119513,594.6963788,478.4284795,547.690559,533.7539583,416.0272058,625.9478164,371.1318064,517.3007719,532.4982951,496.9859766
AT3G48115,351.3161263,753.8141284,458.2236557,140.7844744,362.1626928,272.0721927,305.0099889,505.5706071,458.4455572,205.3140579,119.0069379,217.8765187
AT3G48170,487.9290433,389.8157468,526.2174722,497.418671,377.4307936,427.1750479,454.4175981,472.9243064,468.2439968,458.85674,453.4989144,490.8289647
AT3G48185,264.1215609,503.2740758,299.461565,210.1820003,368.790518,365.2256633,210.5766616,254.956285,275.3820195,196.8998675,213.9636155,211.9189487
AT3G48570,369.087466,507.3609248,479.498015,383.0207789,407.7388689,360.2384869,230.2146761,388.7728015,244.9615018,368.5890326,358.3838511,340.848828
AT3G48670,202.913722,130.5185822,208.9927118,337.4107493,241.2749102,177.9113025,410.5356925,240.6372352,256.8489452,258.0138232,220.2753955,303.4799039
AT3G48740,618.8594097,401.698221,625.2774015,0.863620513,64.90309001,114.2273257,48.5103571,63.54947999,609.0488709,40.81235447,6.671305931,36.87606239
AT3G48860,253.073462,278.0086493,219.7076685,393.2012922,235.7510126,399.1495835,310.1348879,318.12144,244.6959196,322.1609268,414.7235585,474.8643887
AT3G48880,182.1931842,285.968941,259.9815482,196.1618935,241.5710697,192.5515628,166.4407685,299.7432338,188.8712538,188.1568734,162.4746633,151.2934038
AT3G48970,240.4702667,471.5546193,322.2610764,330.5709574,359.9800911,356.9584034,217.0248408,266.6723143,241.8924847,204.5718435,229.9724397,324.8037749
AT3G48990,604.1240681,365.4892348,509.5611589,277.7508196,469.3208288,691.9622027,269.986238,494.8196183,520.5422768,146.8660889,386.7443086,484.7027664
AT3G49080,354.5986734,149.9949787,236.7000563,555.9345387,286.6325596,344.4219293,356.2310792,122.1818792,219.0433003,520.3092911,700.3775581,388.3148577
AT3G49250,198.2037733,127.1105283,169.0580394,376.9083944,210.7233275,226.169565,337.5424305,168.9930923,213.9510849,354.2914849,425.1233938,316.7328614
AT3G49310,392.4157051,258.1626047,372.6839724,324.252481,284.4062618,320.4372757,251.1470339,300.0006429,323.0270333,331.893502,282.0619846,223.3620844
